mjd,rv,rv_err
56077.263396563154,-151.86529541015625,0.1269819587469101
56081.27210662395,-122.52570343017578,0.1469486951828003
56083.27314665441,-110.19706726074219,0.33409520983695984
56086.26081670004,-103.47344970703125,0.12652190029621124
56087.272876715535,-104.1054916381836,0.13923203945159912
56106.21049700334,-158.17776489257812,0.15264794230461123
56111.20233865292,-165.50027465820312,0.16566501557826993
56347.49649233095,-131.94424438476562,0.12258462607860565
56349.515972362904,-117.17225646972656,0.28464198112487793
56352.4788524094,-103.68964385986328,0.20895908772945404
56402.360723185324,-128.37771606445312,0.1398719996213913
56411.363823323714,-157.10308837890625,0.15341317653656006
56439.24902375041,-124.41084289550781,0.12975101172924042
56751.42449859827,-144.67959594726562,0.11191702634096146
56796.29482928836,-162.5120086669922,0.14330780506134033
56814.19941956134,-104.54158782958984,0.25721049308776855
56815.229469577185,-106.03073120117188,0.14476196467876434
56818.20819962259,-113.78184509277344,0.12970881164073944
56819.20276963735,-117.57086944580078,0.4474988877773285
56823.23506969873,-129.89657592773438,0.1316375583410263
56835.14670987977,-164.0890655517578,0.16736099123954773
56836.14534989483,-164.7222442626953,0.16791875660419464
56843.15441000135,-146.12451171875,0.5058205723762512
56849.221440093504,-105.34353637695312,0.2082894742488861
56850.217860108845,-103.25655364990234,0.2111783474683762
