BJD,Radial_Velocity,Radial_Velocity_Uncertainty
2.45484941844e6,19217.2,11.9
2.45484942764e6,19202.8,11.2
2.45484943654e6,19181.1,11.1
2.45484944552e6,19180.7,11.1
2.45484945469e6,19167.8,10.8
2.45484946419e6,19168.5,10.6
2.45484947405e6,19144.4,10.6
2.45484948469e6,19135.3,10.8
2.45484949611e6,19098.4,11.8
2.45484950751e6,19085.7,12.1
2.45484951895e6,19081.2,12.3
2.45484953036e6,19053.2,12.3
2.45484954177e6,19016.3,12.1
2.45484955319e6,19007.6,12.9
2.45484956461e6,19008.3,11.9
2.45484957603e6,18996.6,13.2
2.4548893795e6,19129.5,4.0
2.45489044193e6,19079.5,4.7
2.45491237616e6,19179.3,8.5
2.45491436671e6,18975.0,4.4
2.45492634294e6,18929.5,4.3
2.45493532914e6,19268.4,11.8
2.45493631657e6,19164.4,6.8
2.45526937102e6,19305.0,3.8
2.45527133688e6,19071.9,3.9
2.45527238229e6,19043.0,3.9
2.45527333965e6,18891.9,3.9
2.45528231904e6,19174.9,4.5
2.45528335164e6,19110.9,4.9
